# gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm
# Idx      %      %      %      %      %      %     MB     MB     MB
    0      0      0      0      0      0      0  15630  15630      0
    1      0      0      0      0      0      0  11726  11726      0
    0      3      1      0      0      0      0  15650  15650      0
    1      0      0      0      0      0      0  11746  11746      0
    0      6      4      0      0      0      0  15650  15650      0
    1      0      0      0      0      0      0  11746  11746      0
    0      4      3      0      0      0      0  15650  15650      0
    1      4      3      0      0      0      0  11746  11746      0
    0      0      0      0      0      0      0  15650  15650      0
    1      0      0      0      0      0      0  11746  11746      0
    0      0      0      0      0      0      0  15650  15650      0
    1      0      0      0      0      0      0  11746  11746      0
    0      0      0      0      0      0      0  15650  15650      0
    1      0      0      0      0      0      0  11746  11746      0
    0      0      0      0      0      0      0  15650  15650      0
    1      0      0      0      0      0      0  11746  11746      0
    0      0      0      0      0      0      0  15650  15650      0
    1      0      0      0      0      0      0  11746  11746      0
    0      0      0      0      0      0      0  15650  15650      0
    1      0      0      0      0      0      0  11746  11746      0
    0      0      0      0      0      0      0  15650  15650      0
    1      0      0      0      0      0      0  11746  11746      0
    0      0      0      0      0      0      0  15650  15650      0
    1      0      0      0      0      0      0  11746  11746      0
    0      0      0      0      0      0      0  15650  15650      0
    1      0      0      0      0      0      0  11746  11746      0
    0      0      0      0      0      0      0  15650  15650      0
    1      0      0      0      0      0      0  11746  11746      0
    0      0      0      0      0      0      0  15650  15650      0
    1      0      0      0      0      0      0  11746  11746      0
    0      0      0      0      0      0      0  15650  15650      0
    1      0      0      0      0      0      0  11746  11746      0
    0      0      0      0      0      0      0  15650  15650      0
    1      0      0      0      0      0      0  11746  11746      0
    0      0      0      0      0      0      0  15650  15650      0
    1      0      0      0      0      0      0  11746  11746      0
    0      0      0      0      0      0      0  15650  15650      0
    1      0      0      0      0      0      0  11746  11746      0
    0      0      0      0      0      0      0  15650  15650      0
    1      0      0      0      0      0      0  11746  11746      0
    0      0      0      0      0      0      0  15650  15650      0
    1      0      0      0      0      0      0  11746  11746      0
    0      0      0      0      0      0      0  15650  15650      0
    1      0      0      0      0      0      0  11746  11746      0
# gpu     sm    mem    enc    dec    jpg    ofa     fb   bar1   ccpm
# Idx      %      %      %      %      %      %     MB     MB     MB
    0      0      0      0      0      0      0  15650  15650      0
    1      0      0      0      0      0      0  11746  11746      0
    0      0      0      0      0      0      0  15650  15650      0
    1      0      0      0      0      0      0  11746  11746      0
    0      0      0      0      0      0      0  15650  15650      0
    1      0      0      0      0      0      0  11746  11746      0
    0      0      0      0      0      0      0  15650  15650      0
    1      0      0      0      0      0      0  11746  11746      0
    0      0      0      0      0      0      0  15650  15650      0
    1      0      0      0      0      0      0  11746  11746      0
    0      0      0      0      0      0      0  15650  15650      0
    1      0      0      0      0      0      0  11746  11746      0
