adduser	3.137ubuntu1
apt	2.8.3
base-files	13ubuntu10.4
base-passwd	3.6.3build1
bash	5.2.21-2ubuntu4
binutils	2.42-4ubuntu2.10
binutils-common:amd64	2.42-4ubuntu2.10
binutils-x86-64-linux-gnu	2.42-4ubuntu2.10
bsdutils	1:2.39.3-9ubuntu6.5
build-essential	12.10ubuntu1
bzip2	1.0.8-5.1build0.1
ca-certificates	20260601~24.04.1
cmake	3.28.3-1build7
cmake-data	3.28.3-1build7
coreutils	9.4-3ubuntu6.2
cpp	4:13.2.0-7ubuntu1
cpp-13	13.3.0-6ubuntu2~24.04.1
cpp-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
cpp-x86-64-linux-gnu	4:13.2.0-7ubuntu1
cuda-cccl-13-2	13.2.75-1
cuda-command-line-tools-13-2	13.2.1-1
cuda-compat-13-2	595.58.03-1ubuntu1
cuda-compiler-13-2	13.2.1-1
cuda-crt-13-2	13.2.78-1
cuda-cudart-13-2	13.2.75-1
cuda-cudart-dev-13-2	13.2.75-1
cuda-culibos-dev-13-2	13.2.75-1
cuda-cuobjdump-13-2	13.2.78-1
cuda-cupti-13-2	13.2.75-1
cuda-cupti-dev-13-2	13.2.75-1
cuda-cuxxfilt-13-2	13.2.78-1
cuda-driver-dev-13-2	13.2.75-1
cuda-gdb-13-2	13.2.75-1
cuda-keyring	1.1-1
cuda-libraries-13-2	13.2.1-1
cuda-libraries-dev-13-2	13.2.1-1
cuda-minimal-build-13-2	13.2.1-1
cuda-nsight-compute-13-2	13.2.1-1
cuda-nvcc-13-2	13.2.78-1
cuda-nvdisasm-13-2	13.2.78-1
cuda-nvml-dev-13-2	13.2.82-1
cuda-nvprune-13-2	13.2.78-1
cuda-nvrtc-13-2	13.2.78-1
cuda-nvrtc-dev-13-2	13.2.78-1
cuda-nvtx-13-2	13.2.75-1
cuda-opencl-13-2	13.2.75-1
cuda-profiler-api-13-2	13.2.75-1
cuda-sandbox-dev-13-2	13.2.82-1
cuda-sanitizer-13-2	13.2.76-1
cuda-tileiras-13-2	13.2.78-1
cuda-toolkit-13-2-config-common	13.2.75-1
cuda-toolkit-13-config-common	13.2.75-1
cuda-toolkit-config-common	13.2.75-1
dash	0.5.12-6ubuntu5
debconf	1.5.86ubuntu1
debianutils	5.17build1
diffutils	1:3.10-1build1
dirmngr	2.4.4-2ubuntu17.4
dpkg	1.22.6ubuntu6.5
dpkg-dev	1.22.6ubuntu6.5
e2fsprogs	1.47.0-2.4~exp1ubuntu4.1
findutils	4.9.0-5build1
g++	4:13.2.0-7ubuntu1
g++-13	13.3.0-6ubuntu2~24.04.1
g++-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
g++-x86-64-linux-gnu	4:13.2.0-7ubuntu1
gcc	4:13.2.0-7ubuntu1
gcc-13	13.3.0-6ubuntu2~24.04.1
gcc-13-base:amd64	13.3.0-6ubuntu2~24.04.1
gcc-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
gcc-14-base:amd64	14.2.0-4ubuntu2~24.04.1
gcc-x86-64-linux-gnu	4:13.2.0-7ubuntu1
git	1:2.43.0-1ubuntu7.3
git-man	1:2.43.0-1ubuntu7.3
gnupg	2.4.4-2ubuntu17.4
gnupg-utils	2.4.4-2ubuntu17.4
gnupg2	2.4.4-2ubuntu17.4
gpg	2.4.4-2ubuntu17.4
gpg-agent	2.4.4-2ubuntu17.4
