uuid,size_MiB,direction,sample_count,median_GB_per_s,min_GB_per_s,max_GB_per_s,median_GiB_per_s,started_utc,ended_utc,command_return_code
GPU-88058d9d-08e5-cb1e-a77a-04cbc1488237,32,H2D,5,56.92,56.91,56.92,53.0109,2026-09-23T01:46:31.187043+00:00,2026-09-23T01:46:31.619712+00:00,0
GPU-88058d9d-08e5-cb1e-a77a-04cbc1488237,32,D2H,5,56.46,56.46,56.46,52.5825,2026-09-23T01:46:31.187043+00:00,2026-09-23T01:46:31.619712+00:00,0
GPU-88058d9d-08e5-cb1e-a77a-04cbc1488237,256,H2D,5,57.01,56.99,57.01,53.0947,2026-09-23T01:46:32.170185+00:00,2026-09-23T01:46:33.589951+00:00,0
GPU-88058d9d-08e5-cb1e-a77a-04cbc1488237,256,D2H,5,56.49,56.49,56.5,52.6104,2026-09-23T01:46:32.170185+00:00,2026-09-23T01:46:33.589951+00:00,0
GPU-88058d9d-08e5-cb1e-a77a-04cbc1488237,1024,H2D,5,57.01,57.01,57.02,53.0947,2026-09-23T01:46:35.076240+00:00,2026-09-23T01:46:39.886508+00:00,0
GPU-88058d9d-08e5-cb1e-a77a-04cbc1488237,1024,D2H,5,56.51,56.51,56.51,52.629,2026-09-23T01:46:35.076240+00:00,2026-09-23T01:46:39.886508+00:00,0
GPU-69acfa26-8b60-61b5-702d-aee252c163cc,32,H2D,5,56.92,56.91,56.92,53.0109,2026-09-23T01:46:40.276876+00:00,2026-09-23T01:46:40.693496+00:00,0
GPU-69acfa26-8b60-61b5-702d-aee252c163cc,32,D2H,5,56.46,56.46,56.46,52.5825,2026-09-23T01:46:40.276876+00:00,2026-09-23T01:46:40.693496+00:00,0
GPU-69acfa26-8b60-61b5-702d-aee252c163cc,256,H2D,5,57.01,57.01,57.01,53.0947,2026-09-23T01:46:41.236649+00:00,2026-09-23T01:46:42.630975+00:00,0
GPU-69acfa26-8b60-61b5-702d-aee252c163cc,256,D2H,5,56.5,56.5,56.5,52.6197,2026-09-23T01:46:41.236649+00:00,2026-09-23T01:46:42.630975+00:00,0
GPU-69acfa26-8b60-61b5-702d-aee252c163cc,1024,H2D,5,57.01,57.01,57.02,53.0947,2026-09-23T01:46:44.069867+00:00,2026-09-23T01:46:48.848983+00:00,0
GPU-69acfa26-8b60-61b5-702d-aee252c163cc,1024,D2H,5,56.51,56.51,56.51,52.629,2026-09-23T01:46:44.069867+00:00,2026-09-23T01:46:48.848983+00:00,0
GPU-5d895991-b794-2b4c-b9c4-5f1b668afd23,32,H2D,5,2.61,2.61,2.61,2.4308,2026-09-23T01:46:49.852656+00:00,2026-09-23T01:46:52.878160+00:00,0
GPU-5d895991-b794-2b4c-b9c4-5f1b668afd23,32,D2H,5,2.89,2.89,2.89,2.6915,2026-09-23T01:46:49.852656+00:00,2026-09-23T01:46:52.878160+00:00,0
GPU-5d895991-b794-2b4c-b9c4-5f1b668afd23,256,H2D,5,2.61,2.61,2.61,2.4308,2026-09-23T01:46:57.550349+00:00,2026-09-23T01:47:19.123818+00:00,0
GPU-5d895991-b794-2b4c-b9c4-5f1b668afd23,256,D2H,5,2.89,2.89,2.89,2.6915,2026-09-23T01:46:57.550349+00:00,2026-09-23T01:47:19.123818+00:00,0
GPU-5d895991-b794-2b4c-b9c4-5f1b668afd23,1024,H2D,5,2.61,2.61,2.61,2.4308,2026-09-23T01:47:36.759887+00:00,2026-09-23T01:48:37.059813+00:00,124
GPU-5d895991-b794-2b4c-b9c4-5f1b668afd23,1024,D2H,5,2.89,2.89,2.89,2.6915,2026-09-23T01:49:07.674908+00:00,2026-09-23T01:49:49.538981+00:00,0
