case_id,scope,status,requested_size,planned_native_size,http_request_seconds,native_inference_seconds,sampled_peak_used_bytes,sampled_min_free_bytes,native_peak_allocated_mib,native_peak_reserved_mib,visual_status,profile_eligible,output_sha256
initial-deployment-recovery,required_deployment_recovery_not_benchmark,PASS,1024x1024,,24.315614,24.180714080999678,41119186944,10407837696,34266.57,37570.0,PASS,False,d055af30b1aa6e3f9546a5cec1adf2be25959cd8af796f4001124c6e0024c487
api-baseline-1024x1024,api_baseline,PASS,1024x1024,1024x1024,24.183102209004574,23.83,40947220480,10579804160,,37406.0,PASS,True,876ad24718d40d31090a214ef7028a26b2e966cc14fe0f3894c20e91fe56467b
r01-1024x576,direct_native_ladder,PASS,1024x576,1024x576,13.58653102199969,13.473055935999582,37858115584,13668909056,32880.07,34460.0,PASS,True,51ff493b2329d8c29dd6ba89cc7e59fb1e4b130b8d42fb8d5ee75a87169f8971
r02-1216x704,direct_native_ladder,PASS,1216x704,1216x704,19.406880251000985,19.2552108710006,39936393216,11590631424,33685.75,36442.0,PASS,True,b365edc833897ac903a4e2b613f9a1b0f6a2a3ffe145e838260c0528a0b25ae6
r03-1472x832,direct_native_ladder,PASS,1472x832,1472x832,28.60269934200005,28.4104878929993,41979019264,9548005376,34800.84,38390.0,PASS,True,afe409ffa44f8a6f0eea7568bc0cb08e53008792546c661cbd04b27864c19687
r04-1760x992,direct_native_ladder,PASS,1760x992,1760x992,45.21368461699967,44.94311561500035,44889866240,6637158400,36377.22,41166.0,PASS,True,c23c442760b05ebfa09376bfb81dbeda92dc38ae8385fd41b221b83cbd5e6209
r05-2112x1184,direct_native_ladder,NOT_TESTED,2112x1184,2112x1184,,,,,,,NOT_TESTED,False,
r06-2528x1408,direct_native_ladder,NOT_TESTED,2528x1408,2528x1408,,,,,,,NOT_TESTED,False,
r07-3040x1696,direct_native_ladder,NOT_TESTED,3040x1696,3040x1696,,,,,,,NOT_TESTED,False,
r08-3648x2048,direct_native_ladder,NOT_TESTED,3648x2048,3648x2048,,,,,,,NOT_TESTED,False,
r09-3840x2160,direct_native_ladder,NOT_TESTED,3840x2160,3840x2176,,,,,,,NOT_TESTED,False,
refinement-1920x1088,additional_root_authorized_refinement_beyond_frozen_ladder,PASS,1920x1088,1920x1088,53.33550874100001,53.015609738999046,46951366656,4575657984,37415.44,43132.0,PASS,True,6613c43c3fc04eafe977113565684f8c41bbe2d3acbd8855dd445ad4aced56b5
